i,c,d,l,s
1,2791,24,1149,2466.000000
2,2791,24,1149,2466.000000
3,2791,24,1149,2466.000000
4,2791,24,1149,2466.000000
5,2791,24,1149,2466.000000
6,2791,24,1149,2466.000000
7,2791,24,1149,2466.000000
8,2791,24,1149,2466.000000
9,2791,24,1149,2466.000000
10,2791,24,1149,2466.000000
11,2791,24,1149,2466.000000
12,2791,24,1149,2466.000000
13,2791,24,1149,2466.000000
14,2791,24,1149,2466.000000
15,2791,24,1149,2466.000000
16,2791,24,1149,2466.000000
17,2791,24,1149,2466.000000
18,2791,24,1149,2466.000000
19,2791,24,1149,2466.000000
20,2791,24,1149,2466.000000
21,2791,24,1149,2466.000000
22,2791,24,1149,2466.000000
23,2791,24,1149,2466.000000
24,2791,24,1149,2466.000000
25,2791,24,1149,2466.000000
26,2791,24,1149,2466.000000
27,2791,24,1149,2466.000000
28,2791,24,1149,2466.000000
29,2791,24,1149,2466.000000
30,2791,24,1149,2466.000000
31,2791,24,1149,2466.000000
32,2791,24,1149,2466.000000
33,2791,24,1149,2466.000000
34,2791,24,1149,2466.000000
35,2791,24,1149,2466.000000
36,2791,24,1149,2466.000000
37,2791,24,1149,2466.000000
38,2791,24,1149,2466.000000
39,2791,24,1149,2466.000000
40,2791,24,1149,2466.000000
41,2791,24,1149,2466.000000
42,2791,24,1149,2466.000000
43,2791,24,1149,2466.000000
44,2791,24,1149,2466.000000
45,2791,24,1149,2466.000000
46,2791,24,1149,2466.000000
47,2791,24,1149,2466.000000
48,2791,24,1149,2466.000000
49,2791,24,1149,2466.000000
50,2791,24,1149,2466.000000
51,2791,24,1149,2466.000000
52,2791,24,1149,2466.000000
53,2791,24,1149,2466.000000
54,2791,24,1149,2466.000000
55,2791,24,1149,2466.000000
56,2791,24,1149,2466.000000
57,2791,24,1149,2466.000000
58,2791,24,1149,2466.000000
59,2791,24,1149,2466.000000
60,2791,24,1149,2466.000000
61,2791,24,1149,2466.000000
62,2791,24,1149,2466.000000
63,2791,24,1149,2466.000000
64,2791,24,1149,2466.000000
65,2791,24,1149,2466.000000
66,2791,24,1149,2466.000000
67,2791,24,1149,2466.000000
68,2791,24,1149,2466.000000
69,2791,24,1149,2466.000000
70,2791,24,1149,2466.000000
71,2791,24,1149,2466.000000
72,2791,24,1149,2466.000000
73,2791,24,1149,2466.000000
74,2791,24,1149,2466.000000
75,2791,24,1149,2466.000000
76,2791,24,1149,2466.000000
77,2791,24,1149,2466.000000
78,2791,24,1149,2466.000000
79,2791,24,1149,2466.000000
80,2791,24,1149,2466.000000
81,2791,24,1149,2466.000000
82,2791,24,1149,2466.000000
83,2791,24,1149,2466.000000
84,2791,24,1149,2466.000000
85,2791,24,1149,2466.000000
86,2791,24,1149,2466.000000
87,2791,24,1149,2466.000000
88,2791,24,1149,2466.000000
89,2791,24,1149,2466.000000
90,2791,24,1149,2466.000000
91,2791,24,1149,2466.000000
92,2791,24,1149,2466.000000
93,2791,24,1149,2466.000000
94,2791,24,1149,2466.000000
95,2791,24,1149,2466.000000
96,2791,24,1149,2466.000000
97,2791,24,1149,2466.000000
98,2791,24,1149,2466.000000
99,2791,24,1149,2466.000000
100,2791,24,1149,2466.000000
101,2791,24,1149,2466.000000
102,2791,24,1149,2466.000000
103,2791,24,1149,2466.000000
104,2791,24,1149,2466.000000
105,2791,24,1149,2466.000000
106,2791,24,1149,2466.000000
107,2791,24,1149,2466.000000
108,2791,24,1149,2466.000000
109,2791,24,1149,2466.000000
110,2791,24,1149,2466.000000
111,2791,24,1149,2466.000000
112,2791,24,1149,2466.000000
113,2791,24,1149,2466.000000
114,2791,24,1149,2466.000000
115,2791,24,1149,2466.000000
116,2791,24,1149,2466.000000
117,2791,24,1149,2466.000000
118,2791,24,1149,2466.000000
119,2791,24,1149,2466.000000
120,2791,24,1149,2466.000000
121,2791,24,1149,2466.000000
122,2791,24,1149,2466.000000
123,2791,24,1149,2466.000000
124,2791,24,1149,2466.000000
125,2791,24,1149,2466.000000
126,2791,24,1149,2466.000000
127,2791,24,1149,2466.000000
128,2791,24,1149,2466.000000
129,2791,24,1149,2466.000000
130,2791,24,1149,2466.000000
131,2791,24,1149,2466.000000
132,2791,24,1149,2466.000000
133,2791,24,1149,2466.000000
134,2791,24,1149,2466.000000
135,2791,24,1149,2466.000000
136,2791,24,1149,2466.000000
137,2791,24,1149,2466.000000
138,2791,24,1149,2466.000000
139,2791,24,1149,2466.000000
140,2791,24,1149,2466.000000
141,2791,24,1149,2466.000000
142,2791,24,1149,2466.000000
143,2791,24,1149,2466.000000
144,2791,24,1149,2466.000000
145,2791,24,1149,2466.000000
146,2791,24,1149,2466.000000
147,2791,24,1149,2466.000000
148,2791,24,1149,2466.000000
149,2791,24,1149,2466.000000
150,2791,24,1149,2466.000000
151,2791,24,1149,2466.000000
152,2791,24,1149,2466.000000
153,2791,24,1149,2466.000000
154,2791,24,1149,2466.000000
155,2791,24,1149,2466.000000
156,2791,24,1149,2466.000000
157,2791,24,1149,2466.000000
158,2791,24,1149,2466.000000
159,2791,24,1149,2466.000000
160,2791,24,1149,2466.000000
161,2791,24,1149,2466.000000
162,2791,24,1149,2466.000000
163,2791,24,1149,2466.000000
164,2791,24,1149,2466.000000
165,2791,24,1149,2466.000000
166,2791,24,1149,2466.000000
167,2791,24,1149,2466.000000
168,2791,24,1149,2466.000000
169,2791,24,1149,2466.000000
170,2791,24,1149,2466.000000
171,2791,24,1149,2466.000000
172,2791,24,1149,2466.000000
173,2791,24,1149,2466.000000
174,2791,24,1149,2466.000000
175,2791,24,1149,2466.000000
176,2791,24,1149,2466.000000
177,2791,24,1149,2466.000000
178,2791,24,1149,2466.000000
179,2791,24,1149,2466.000000
180,2791,24,1149,2466.000000
181,2791,24,1149,2466.000000
182,2791,24,1149,2466.000000
183,2791,24,1149,2466.000000
184,2791,24,1149,2466.000000
185,2791,24,1149,2466.000000
186,2791,24,1149,2466.000000
187,2791,24,1149,2466.000000
188,2791,24,1149,2466.000000
189,2791,24,1149,2466.000000
190,2791,24,1149,2466.000000
191,2791,24,1149,2466.000000
192,2791,24,1149,2466.000000
193,2791,24,1149,2466.000000
194,2791,24,1149,2466.000000
195,2791,24,1149,2466.000000
196,2791,24,1149,2466.000000
197,2791,24,1149,2466.000000
198,2791,24,1149,2466.000000
199,2791,24,1149,2466.000000
200,2791,24,1149,2466.000000
201,2791,24,1149,2466.000000
202,2791,24,1149,2466.000000
203,2791,24,1149,2466.000000
204,2791,24,1149,2466.000000
205,2791,24,1149,2466.000000
206,2791,24,1149,2466.000000
207,2791,24,1149,2466.000000
208,2791,24,1149,2466.000000
209,2791,24,1149,2466.000000
210,2791,24,1149,2466.000000
211,2791,24,1149,2466.000000
212,2791,24,1149,2466.000000
213,2791,24,1149,2466.000000
214,2791,24,1149,2466.000000
215,2791,24,1149,2466.000000
216,2791,24,1149,2466.000000
217,2791,24,1149,2466.000000
218,2791,24,1149,2466.000000
219,2791,24,1149,2466.000000
220,2791,24,1149,2466.000000
221,2791,24,1149,2466.000000
222,2791,24,1149,2466.000000
223,2791,24,1149,2466.000000
224,2791,24,1149,2466.000000
225,2791,24,1149,2466.000000
226,2791,24,1149,2466.000000
227,2791,24,1149,2466.000000
228,2791,24,1149,2466.000000
229,2791,24,1149,2466.000000
230,2791,24,1149,2466.000000
231,2791,24,1149,2466.000000
232,2791,24,1149,2466.000000
233,2791,24,1149,2466.000000
234,2791,24,1149,2466.000000
235,2791,24,1149,2466.000000
236,2791,24,1149,2466.000000
237,2791,24,1149,2466.000000
238,2791,24,1149,2466.000000
239,2791,24,1149,2466.000000
240,2791,24,1149,2466.000000
241,2791,24,1149,2466.000000
242,2791,24,1149,2466.000000
243,2791,24,1149,2466.000000
244,2791,24,1149,2466.000000
245,2791,24,1149,2466.000000
246,2791,24,1149,2466.000000
247,2791,24,1149,2466.000000
248,2791,24,1149,2466.000000
249,2791,24,1149,2466.000000
250,2791,24,1149,2466.000000
251,2791,24,1149,2466.000000
252,2791,24,1149,2466.000000
253,2791,24,1149,2466.000000
254,2791,24,1149,2466.000000
255,2791,24,1149,2466.000000
256,2791,24,1149,2466.000000
257,2791,24,1149,2466.000000
258,2791,24,1149,2466.000000
259,2791,24,1149,2466.000000
260,2791,24,1149,2466.000000
261,2791,24,1149,2466.000000
262,2791,24,1149,2466.000000
263,2791,24,1149,2466.000000
264,2791,24,1149,2466.000000
265,2791,24,1149,2466.000000
266,2791,24,1149,2466.000000
267,2791,24,1149,2466.000000
268,2791,24,1149,2466.000000
269,2791,24,1149,2466.000000
270,2791,24,1149,2466.000000
271,2791,24,1149,2466.000000
272,2791,24,1149,2466.000000
273,2791,24,1149,2466.000000
274,2791,24,1149,2466.000000
275,2791,24,1149,2466.000000
276,2791,24,1149,2466.000000
277,2791,24,1149,2466.000000
278,2791,24,1149,2466.000000
279,2791,24,1149,2466.000000
280,2791,24,1149,2466.000000
281,2791,24,1149,2466.000000
282,2791,24,1149,2466.000000
283,2791,24,1149,2466.000000
284,2791,24,1149,2466.000000
285,2791,24,1149,2466.000000
286,2791,24,1149,2466.000000
287,2791,24,1149,2466.000000
288,2791,24,1149,2466.000000
289,2791,24,1149,2466.000000
290,2791,24,1149,2466.000000
291,2791,24,1149,2466.000000
292,2791,24,1149,2466.000000
293,2791,24,1149,2466.000000
294,2791,24,1149,2466.000000
295,2791,24,1149,2466.000000
296,2791,24,1149,2466.000000
297,2791,24,1149,2466.000000
298,2791,24,1149,2466.000000
299,2791,24,1149,2466.000000
300,2791,24,1149,2466.000000
301,2791,24,1149,2466.000000
302,2791,24,1149,2466.000000
303,2791,24,1149,2466.000000
304,2791,24,1149,2466.000000
305,2791,24,1149,2466.000000
306,2791,24,1149,2466.000000
307,2791,24,1149,2466.000000
308,2791,24,1149,2466.000000
309,2791,24,1149,2466.000000
310,2791,24,1149,2466.000000
311,2791,24,1149,2466.000000
312,2791,24,1149,2466.000000
313,2791,24,1149,2466.000000
314,2791,24,1149,2466.000000
315,2791,24,1149,2466.000000
316,2791,24,1149,2466.000000
317,2791,24,1149,2466.000000
318,2791,24,1149,2466.000000
319,2791,24,1149,2466.000000
320,2791,24,1149,2466.000000
321,2791,24,1149,2466.000000
322,2791,24,1149,2466.000000
323,2791,24,1149,2466.000000
324,2791,24,1149,2466.000000
325,2791,24,1149,2466.000000
326,2791,24,1149,2466.000000
327,2791,24,1149,2466.000000
328,2791,24,1149,2466.000000
329,2791,24,1149,2466.000000
330,2791,24,1149,2466.000000
331,2791,24,1149,2466.000000
332,2791,24,1149,2466.000000
333,2791,24,1149,2466.000000
334,2791,24,1149,2466.000000
335,2791,24,1149,2466.000000
336,2791,24,1149,2466.000000
337,2791,24,1149,2466.000000
338,2791,24,1149,2466.000000
339,2791,24,1149,2466.000000
340,2791,24,1149,2466.000000
341,2791,24,1149,2466.000000
342,2791,24,1149,2466.000000
343,2791,24,1149,2466.000000
344,2791,24,1149,2466.000000
345,2791,24,1149,2466.000000
346,2791,24,1149,2466.000000
347,2791,24,1149,2466.000000
348,2791,24,1149,2466.000000
349,2791,24,1149,2466.000000
350,2791,24,1149,2466.000000
351,2791,24,1149,2466.000000
352,2791,24,1149,2466.000000
353,2791,24,1149,2466.000000
354,2791,24,1149,2466.000000
355,2791,24,1149,2466.000000
356,2791,24,1149,2466.000000
357,2791,24,1149,2466.000000
358,2791,24,1149,2466.000000
359,2791,24,1149,2466.000000
360,2791,24,1149,2466.000000
361,2791,24,1149,2466.000000
362,2791,24,1149,2466.000000
363,2791,24,1149,2466.000000
364,2791,24,1149,2466.000000
365,2791,24,1149,2466.000000
366,2791,24,1149,2466.000000
367,2791,24,1149,2466.000000
368,2791,24,1149,2466.000000
369,2791,24,1149,2466.000000
370,2791,24,1149,2466.000000
371,2791,24,1149,2466.000000
372,2791,24,1149,2466.000000
373,2791,24,1149,2466.000000
374,2791,24,1149,2466.000000
375,2791,24,1149,2466.000000
376,2791,24,1149,2466.000000
377,2791,24,1149,2466.000000
378,2791,24,1149,2466.000000
379,2791,24,1149,2466.000000
380,2791,24,1149,2466.000000
381,2791,24,1149,2466.000000
382,2791,24,1149,2466.000000
383,2791,24,1149,2466.000000
384,2791,24,1149,2466.000000
385,2791,24,1149,2466.000000
386,2791,24,1149,2466.000000
387,2791,24,1149,2466.000000
388,2791,24,1149,2466.000000
389,2791,24,1149,2466.000000
390,2791,24,1149,2466.000000
391,2791,24,1149,2466.000000
392,2791,24,1149,2466.000000
393,2791,24,1149,2466.000000
394,2791,24,1149,2466.000000
395,2791,24,1149,2466.000000
396,2791,24,1149,2466.000000
397,2791,24,1149,2466.000000
