i,c,d,l,s,pr
1,147,9,433,883.000000,0.00301003
2,147,9,433,883.000000,0.00815096
3,146,8,437,837.000000,0.299746
4,145,8,439,839.000000,0.299383
5,145,8,439,839.000000,0.546828
6,144,8,443,843.000000,0.365295
7,144,8,449,849.000000,0.298293
8,144,8,449,849.000000,0.545829
9,144,8,449,849.000000,0.545496
10,144,8,449,849.000000,0.545161
11,144,8,449,849.000000,0.544827
12,144,8,451,851.000000,0.444619
13,144,8,451,851.000000,0.544156
14,144,8,451,851.000000,0.54382
15,144,8,451,851.000000,0.543483
16,143,8,459,859.000000,0.240698
17,143,8,459,859.000000,0.442788
18,142,8,466,866.000000,0.216741
19,142,8,466,866.000000,0.442053
20,142,8,466,866.000000,0.441684
21,142,8,466,866.000000,0.441315
22,141,8,468,868.000000,0.35932
23,140,8,473,873.000000,0.263957
24,139,8,476,876.000000,0.323614
25,138,8,478,878.000000,0.358189
26,138,8,478,878.000000,0.439464
27,138,8,475,875.000000,0.597857
28,138,8,475,875.000000,0.43872
29,138,8,475,875.000000,0.438348
30,138,8,475,875.000000,0.437975
31,137,8,478,878.000000,0.320984
32,137,8,478,878.000000,0.437228
33,137,8,476,876.000000,0.537343
34,137,8,476,876.000000,0.436479
35,136,8,478,878.000000,0.354395
36,136,8,478,878.000000,0.435728
37,137,8,476,876.000000,0.535957
38,137,8,476,876.000000,0.434975
39,137,8,470,870.000000,0.811936
40,137,8,470,870.000000,0.434221
41,137,8,474,874.000000,0.285758
42,137,8,471,871.000000,0.593056
43,137,8,471,871.000000,0.433086
44,136,8,473,873.000000,0.350947
45,136,8,469,869.000000,0.657515
46,135,8,471,871.000000,0.350177
47,136,8,468,868.000000,0.591431
48,136,8,468,868.000000,0.431184
49,136,8,468,868.000000,0.430803
50,136,8,468,868.000000,0.430421
51,136,8,468,868.000000,0.430038
52,136,8,470,870.000000,0.347856
53,135,8,472,872.000000,0.347468
54,134,8,474,874.000000,0.34708
55,133,8,478,878.000000,0.280499
56,133,8,478,878.000000,0.428118
57,132,8,480,880.000000,0.345912
58,132,8,480,880.000000,0.427347
59,131,8,483,883.000000,0.310301
60,131,8,483,883.000000,0.426574
61,131,8,483,883.000000,0.426186
62,132,8,481,881.000000,0.527112
63,132,8,481,881.000000,0.42541
64,131,8,483,883.000000,0.343174
65,130,8,485,885.000000,0.342781
66,130,8,481,881.000000,0.651339
67,130,8,477,877.000000,1
68,129,8,485,885.000000,0.275564
69,130,8,483,883.000000,0.524578
70,130,8,483,883.000000,0.42268
71,130,8,483,883.000000,0.422287
72,130,8,483,883.000000,0.421895
73,129,8,487,887.000000,0.273652
74,129,8,487,887.000000,0.421108
75,129,8,487,887.000000,0.420714
76,129,8,487,887.000000,0.42032
77,129,8,487,887.000000,0.419925
78,129,8,489,889.000000,0.33764
79,128,8,491,891.000000,0.337241
80,128,8,491,891.000000,0.418737
81,128,8,491,891.000000,0.41834
82,128,8,491,891.000000,0.417943
83,128,8,491,891.000000,0.417545
84,128,8,491,891.000000,0.417147
85,128,8,491,891.000000,0.416748
86,128,8,491,891.000000,0.416349
87,127,8,494,894.000000,0.29935
88,127,8,494,894.000000,0.415549
89,127,8,494,894.000000,0.415148
90,127,8,494,894.000000,0.414746
91,127,8,494,894.000000,0.414345
92,127,8,494,894.000000,0.413942
93,127,8,494,894.000000,0.41354
94,126,8,496,896.000000,0.33122
95,126,8,496,896.000000,0.412732
96,126,8,497,897.000000,0.369104
97,126,8,497,897.000000,0.411923
98,127,8,494,894.000000,0.574107
99,127,8,494,894.000000,0.411112
100,127,8,500,900.000000,0.210707
101,126,8,503,903.000000,0.293774
102,126,8,503,903.000000,0.409892
103,127,8,500,900.000000,0.572332
104,127,8,504,904.000000,0.261641
105,127,8,502,902.000000,0.408667
106,128,8,494,894.000000,0.799344
107,127,8,497,897.000000,0.232841
108,126,8,501,901.000000,0.207781
109,126,8,501,901.000000,0.325109
110,126,8,502,902.000000,0.290153
111,126,8,502,902.000000,0.324287
112,126,8,502,902.000000,0.323876
113,126,8,502,902.000000,0.323464
114,127,8,500,900.000000,0.404965
115,126,8,502,902.000000,0.257312
116,126,8,502,902.000000,0.322226
117,126,8,502,902.000000,0.321812
118,126,8,502,902.000000,0.321398
119,126,8,502,902.000000,0.320984
120,126,8,502,902.000000,0.320569
121,125,8,504,904.000000,0.254936
122,125,8,504,904.000000,0.319739
123,124,8,506,906.000000,0.254142
124,124,8,506,906.000000,0.318907
125,124,8,506,906.000000,0.31849
126,124,8,506,906.000000,0.318073
127,123,8,512,912.000000,0.159635
128,123,8,513,913.000000,0.282828
129,123,8,513,913.000000,0.316819
130,123,8,513,913.000000,0.3164
131,123,8,513,913.000000,0.315981
132,122,8,516,916.000000,0.223259
133,122,8,516,916.000000,0.315141
134,122,8,522,922.000000,0.157283
135,122,8,522,922.000000,0.00386592
136,121,8,524,924.000000,0.00304656
137,121,7,526,876.000000,1
138,120,7,529,879.000000,0.220938
139,120,7,529,879.000000,0.312613
140,120,7,529,879.000000,0.31219
141,120,7,529,879.000000,0.311766
142,120,7,529,879.000000,0.311343
143,120,7,529,879.000000,0.310919
144,120,7,530,880.000000,0.276222
145,120,7,528,878.000000,0.391892
146,120,7,530,880.000000,0.244926
147,120,7,530,880.000000,0.309218
148,119,7,532,882.000000,0.244117
149,119,7,535,885.000000,0.216663
150,118,7,537,887.000000,0.243308
151,118,7,537,887.000000,0.307511
152,118,7,537,887.000000,0.307083
153,117,7,541,891.000000,0.191121
154,117,7,541,891.000000,0.306226
155,118,7,538,888.000000,0.436318
156,118,7,540,890.000000,0.240872
157,118,7,540,890.000000,0.304937
158,117,7,542,892.000000,0.240058
159,117,7,542,892.000000,0.304076
160,117,7,544,894.000000,0.239243
161,117,7,544,894.000000,0.303214
162,117,7,544,894.000000,0.302782
163,116,7,547,897.000000,0.211184
164,115,7,553,903.000000,0.14717
165,114,7,555,905.000000,0.237201
166,114,7,555,905.000000,0.30105
167,114,7,555,905.000000,0.300616
168,113,7,563,913.000000,0.114628
169,112,7,565,915.000000,0.235562
170,113,7,563,913.000000,0.380976
171,113,7,563,913.000000,0.298875
172,112,7,567,917.000000,0.183991
173,112,7,567,917.000000,0.298002
174,112,7,567,917.000000,0.297565
