nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
1198,155,4,4,0,0,1200,1215,4,1132,1172,106.49212384223938,4,1132,1172,33.06703424453735,50,90,2.0,0.5
876,76,3,3,0,0,836,885,3,744,774,76.02774596214294,3,744,774,0.22904467582702637,50,90,2.0,0.5
1120,150,4,4,0,0,1089,1146,5,979,1029,125.57890796661377,4,991,1031,2.954944133758545,50,90,2.0,0.5
5057,733,7,7,0,0,5108,5101,9,4981,5071,548.1554374694824,9,4981,5071,13.721473455429077,50,90,2.0,0.5
4036,570,5,5,0,0,4029,4087,8,3868,3948,418.24207615852356,9,3861,3951,7.2679831981658936,50,90,2.0,0.5
783,150,7,7,0,0,845,796,7,728,798,85.48566961288452,7,728,798,10.094730138778687,50,90,2.0,0.5
1924,268,5,5,0,0,1891,1957,6,1805,1865,220.0172209739685,6,1798,1858,1.188570499420166,50,90,2.0,0.5
1764,333,5,5,0,0,1874,1793,5,1774,1824,211.57031154632568,5,1774,1824,1.259403944015503,50,90,2.0,0.5
1328,118,3,3,0,0,1323,1339,3,1271,1301,160.50289011001587,3,1271,1301,0.2159111499786377,50,90,2.0,0.5
1238,236,9,9,0,0,1275,1266,9,1137,1227,132.87498545646667,9,1137,1227,154.86334204673767,50,90,2.0,0.5
2905,566,7,7,0,0,2748,2950,7,2647,2717,386.57607412338257,7,2647,2717,18.908376932144165,50,90,2.0,0.5
710,96,3,3,0,0,717,720,3,634,664,83.67583918571472,3,634,664,0.16777658462524414,50,90,2.0,0.5
3763,517,6,6,0,0,3713,3781,8,3651,3731,393.16477847099304,8,3651,3731,1.6820051670074463,50,90,2.0,0.5
853,276,7,7,0,0,872,872,8,764,844,108.78279995918274,9,763,853,5.228477716445923,50,90,2.0,0.5
1005,69,3,3,0,0,953,1011,3,889,919,80.92112255096436,3,889,919,0.5511393547058105,50,90,2.0,0.5
1454,241,5,5,0,0,1419,1477,5,1329,1379,155.0719895362854,5,1329,1379,1.3743219375610352,50,90,2.0,0.5
947,111,4,4,0,0,954,957,5,870,920,97.48135209083557,5,870,920,1.0546069145202637,50,90,2.0,0.5
2145,290,4,4,0,0,2180,2173,6,2072,2132,185.01094245910645,5,2082,2132,0.2355329990386963,50,90,2.0,0.5
1713,399,7,7,0,0,1677,1745,7,1554,1624,211.8785285949707,7,1554,1624,17.916722297668457,50,90,2.0,0.5
1404,228,6,6,0,0,1393,1431,6,1254,1314,152.5467929840088,7,1250,1320,176.39634585380554,50,90,2.0,0.5
705,154,5,5,0,0,669,714,6,573,633,84.58320665359497,5,582,632,0.5642061233520508,50,90,2.0,0.5
1789,273,6,6,0,0,1826,1810,6,1743,1803,210.31399083137512,6,1743,1803,34.74726319313049,50,90,2.0,0.5
1011,218,5,5,0,0,991,1029,5,923,973,114.46853518486023,6,917,977,0.4219512939453125,50,90,2.0,0.5
714,35,2,2,0,0,732,716,2,638,658,64.93001317977905,2,638,658,0.20348334312438965,50,90,2.0,0.5
640,56,4,4,0,0,652,644,4,554,594,61.76363253593445,4,554,594,1.0958592891693115,50,90,2.0,0.5
849,115,4,4,0,0,815,871,4,699,739,81.93954467773438,4,699,739,0.25767064094543457,50,90,2.0,0.5
633,49,2,2,0,0,689,640,2,577,597,71.18778109550476,2,577,597,0.13780665397644043,50,90,2.0,0.5
628,81,4,4,0,0,577,632,4,516,556,75.0890998840332,4,516,556,0.23589611053466797,50,90,2.0,0.5
976,111,4,4,0,0,974,988,4,870,910,83.18107223510742,4,870,910,0.6638736724853516,50,90,2.0,0.5
1000,131,3,3,0,0,1026,1012,4,951,991,94.75149989128113,4,951,991,0.14146041870117188,50,90,2.0,0.5
782,84,4,4,0,0,807,792,4,719,759,80.6425039768219,4,719,759,0.7895019054412842,50,90,2.0,0.5
1166,91,2,2,0,0,1130,1184,3,1045,1075,84.56328701972961,2,1057,1077,0.15902161598205566,50,90,2.0,0.5
961,146,7,7,0,0,922,976,7,807,877,107.60621547698975,7,807,877,37.73931908607483,50,90,2.0,0.5
