nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
1145,103,3,3,0,0,1108,1160,3,1039,1069,9.28281831741333,3,1039,1069,0.9743757247924805,50,90,2.0,0.5
1007,152,4,4,0,0,999,1022,7,907,977,10.850401639938354,4,920,960,1.0253112316131592,50,90,2.0,0.5
656,49,2,2,0,0,666,658,2,594,614,5.688058853149414,2,594,614,0.1304628849029541,50,90,2.0,0.5
1143,92,2,2,0,0,1215,1160,2,1136,1156,9.37913179397583,2,1136,1156,0.16974949836730957,50,90,2.0,0.5
904,91,3,3,0,0,848,912,3,766,796,10.381344079971313,3,764,794,0.4234578609466553,50,90,2.0,0.5
506,61,4,4,0,0,528,514,4,430,470,4.91305947303772,4,430,470,0.4352531433105469,50,90,2.0,0.5
738,40,2,2,0,0,752,744,2,650,670,7.849057912826538,2,650,670,0.18720674514770508,50,90,2.0,0.5
1468,374,9,9,0,0,1413,1499,20,1237,1437,17.714004039764404,10,1264,1364,38.36807131767273,50,90,2.0,0.5
1621,205,4,4,0,0,1563,1646,4,1487,1527,17.04559826850891,4,1485,1525,1.8327405452728271,50,90,2.0,0.5
1175,149,3,3,0,0,1121,1183,5,1034,1084,13.157877445220947,3,1035,1065,0.2555079460144043,50,90,2.0,0.5
2319,468,7,7,0,0,2435,2365,18,2273,2453,31.35505986213684,7,2306,2376,29.93474245071411,50,90,2.0,0.5
576,52,3,3,0,0,596,576,3,508,538,5.982781648635864,3,508,538,0.06771492958068848,50,90,2.0,0.5
2193,315,6,6,0,0,2095,2229,11,1923,2033,22.313982725143433,6,1947,2007,1.3879423141479492,50,90,2.0,0.5
683,301,7,7,0,0,742,698,12,626,746,9.60213565826416,7,641,711,1.0379719734191895,50,90,2.0,0.5
2739,420,6,6,0,0,2725,2779,10,2609,2709,33.43203258514404,6,2596,2656,104.43302488327026,50,90,2.0,0.5
2520,358,6,6,0,0,2383,2560,17,2217,2387,31.824158191680908,8,2246,2326,4.897393703460693,50,90,2.0,0.5
889,197,5,5,0,0,901,914,7,794,864,10.651978015899658,5,792,842,2.604947566986084,50,90,2.0,0.5
1123,42,1,1,0,0,1146,1129,1,1095,1105,4.981570482254028,1,1095,1105,0.08224678039550781,50,90,2.0,0.5
1399,152,3,3,0,0,1381,1408,4,1340,1380,10.112642049789429,3,1348,1378,0.27035021781921387,50,90,2.0,0.5
569,76,2,2,0,0,578,578,3,487,517,6.002344131469727,2,485,505,0.15563702583312988,50,90,2.0,0.5
2464,221,3,3,0,0,2398,2483,4,2352,2392,12.678762435913086,3,2360,2390,0.4818553924560547,50,90,2.0,0.5
646,44,3,3,0,0,634,653,3,530,560,6.706872940063477,3,530,560,0.34551310539245605,50,90,2.0,0.5
1750,221,4,4,0,0,1800,1763,6,1763,1823,11.438370704650879,5,1759,1809,13.57676887512207,50,90,2.0,0.5
605,41,3,3,0,0,627,606,3,544,574,5.274070978164673,3,544,574,0.346724271774292,50,90,2.0,0.5
896,196,5,5,0,0,910,912,7,831,901,10.46381425857544,5,836,886,2.93400502204895,50,90,2.0,0.5
1040,140,4,4,0,0,1098,1061,4,1022,1062,10.36047101020813,5,1015,1065,3.0039353370666504,50,90,2.0,0.5
686,44,2,2,0,0,659,691,3,590,620,7.894087791442871,2,588,608,0.15319538116455078,50,90,2.0,0.5
739,179,8,8,0,0,769,758,13,644,774,8.572871446609497,8,653,733,4.600841045379639,50,90,2.0,0.5
691,42,3,3,0,0,723,698,3,602,632,7.176523685455322,3,602,632,0.8028733730316162,50,90,2.0,0.5
4870,858,8,8,0,0,4856,4966,25,4567,4817,86.9599220752716,10,4627,4727,2004.2711596488953,50,90,2.0,0.5
743,219,7,7,0,0,725,752,13,594,724,8.580949544906616,7,606,676,3.8325016498565674,50,90,2.0,0.5
